epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,143.957,1.80738,1.45762,1.52681,0.32523,0.27229,0.26711,0.10809,1.95384,1.55555,1.61474,0.00112316,0.00112316,0.00112316
43,147.301,1.82045,1.4224,1.50228,0.32862,0.28389,0.27017,0.10619,2.01309,1.54053,1.62507,0.00112006,0.00112006,0.00112006
44,150.836,1.87813,1.4586,1.51354,0.29301,0.27006,0.26525,0.10271,1.97059,1.61427,1.62271,0.00111697,0.00111697,0.00111697
45,154.144,1.81532,1.43999,1.49813,0.29562,0.29854,0.26902,0.10796,2.05285,1.64626,1.65134,0.00111388,0.00111388,0.00111388
46,157.317,1.8176,1.40182,1.49775,0.27898,0.33242,0.28906,0.11477,1.94748,1.56301,1.5895,0.00111078,0.00111078,0.00111078
47,160.856,1.83628,1.37362,1.47963,0.31101,0.32887,0.30047,0.11493,1.95588,1.60857,1.60013,0.00110769,0.00110769,0.00110769
48,164.128,1.82485,1.37885,1.46428,0.34996,0.2663,0.29285,0.1135,1.93984,1.50995,1.60273,0.00110459,0.00110459,0.00110459
49,167.403,1.79408,1.38164,1.46855,0.30656,0.33175,0.29017,0.11965,1.97807,1.53203,1.6287,0.0011015,0.0011015,0.0011015
50,170.811,1.7917,1.35828,1.46989,0.31699,0.26604,0.27868,0.11439,1.94857,1.52037,1.62111,0.00109841,0.00109841,0.00109841
51,174.135,1.81201,1.38816,1.47726,0.55786,0.25476,0.26624,0.10647,1.96387,1.53084,1.63182,0.00109531,0.00109531,0.00109531
52,177.425,1.75406,1.38781,1.46611,0.5873,0.25186,0.27615,0.10793,1.9848,1.56861,1.64316,0.00109222,0.00109222,0.00109222
53,180.846,1.77248,1.37449,1.45317,0.45158,0.28917,0.28679,0.11236,1.98922,1.51265,1.61814,0.00108913,0.00108913,0.00108913
54,184.284,1.80351,1.38525,1.47032,0.32553,0.29348,0.28985,0.1135,1.99602,1.51839,1.61502,0.00108603,0.00108603,0.00108603
55,187.655,1.77218,1.35471,1.46905,0.62352,0.25053,0.28885,0.11507,2.0096,1.58415,1.63535,0.00108294,0.00108294,0.00108294
56,190.877,1.77424,1.31455,1.45342,0.34218,0.26799,0.27717,0.1117,2.04992,1.53879,1.67124,0.00107984,0.00107984,0.00107984
57,194.169,1.77601,1.30678,1.45286,0.28873,0.25799,0.24522,0.09366,2.07133,1.82424,1.72378,0.00107675,0.00107675,0.00107675
