epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,152.128,1.83665,1.47927,1.52705,0.52555,0.32228,0.30241,0.12235,2.01547,1.63948,1.63359,0.00112316,0.00112316,0.00112316
43,155.445,1.84275,1.43435,1.50887,0.37299,0.29259,0.29301,0.11637,2.07394,1.76526,1.6866,0.00112006,0.00112006,0.00112006
44,159.114,1.90891,1.49752,1.53669,0.3063,0.31391,0.26359,0.10178,2.04921,1.69534,1.70607,0.00111697,0.00111697,0.00111697
45,162.415,1.85156,1.47564,1.52094,0.28228,0.30782,0.2574,0.09699,2.09766,1.72224,1.67757,0.00111388,0.00111388,0.00111388
46,165.942,1.85792,1.44465,1.50991,0.39236,0.30326,0.29224,0.12002,2.00664,1.6569,1.63847,0.00111078,0.00111078,0.00111078
47,169.679,1.85093,1.39417,1.48307,0.33943,0.34238,0.3074,0.12162,2.00623,1.6371,1.65389,0.00110769,0.00110769,0.00110769
48,173.146,1.85163,1.39768,1.47898,0.38983,0.36192,0.31826,0.11823,2.04383,1.66977,1.68311,0.00110459,0.00110459,0.00110459
49,176.474,1.82842,1.38997,1.47445,0.3957,0.40878,0.32851,0.13197,1.99206,1.62378,1.62684,0.0011015,0.0011015,0.0011015
50,180.031,1.82732,1.38161,1.47339,0.48628,0.32965,0.33419,0.12763,2.01947,1.62064,1.63038,0.00109841,0.00109841,0.00109841
51,183.697,1.83434,1.39878,1.47886,0.35122,0.36861,0.29493,0.11369,2.02434,1.68956,1.66404,0.00109531,0.00109531,0.00109531
52,187.073,1.79163,1.41007,1.48172,0.31623,0.36882,0.31,0.12165,2.00766,1.7541,1.64365,0.00109222,0.00109222,0.00109222
53,190.686,1.80918,1.4074,1.46468,0.31547,0.40649,0.29616,0.1158,2.03956,1.71862,1.67767,0.00108913,0.00108913,0.00108913
54,194.083,1.83101,1.39013,1.47864,0.33626,0.29338,0.30674,0.12475,2.02453,1.60005,1.66758,0.00108603,0.00108603,0.00108603
55,197.746,1.79668,1.3687,1.47723,0.43655,0.35132,0.33824,0.12899,2.03526,1.6499,1.6478,0.00108294,0.00108294,0.00108294
56,201.127,1.82141,1.35525,1.46634,0.41174,0.31305,0.28439,0.11195,2.02658,1.63893,1.61484,0.00107984,0.00107984,0.00107984
57,204.646,1.79464,1.32085,1.44995,0.44019,0.3809,0.35129,0.13414,2.04649,1.57694,1.62653,0.00107675,0.00107675,0.00107675
58,208.178,1.7667,1.36744,1.45459,0.33952,0.32692,0.28864,0.10998,2.04131,1.6275,1.66828,0.00107366,0.00107366,0.00107366
59,211.791,1.7924,1.34367,1.44351,0.58381,0.2824,0.32793,0.12438,2.03068,1.61556,1.6693,0.00107056,0.00107056,0.00107056
60,215.376,1.775,1.33264,1.456,0.37454,0.36242,0.31826,0.12328,1.99901,1.57642,1.64436,0.00106747,0.00106747,0.00106747
61,218.831,1.79803,1.35995,1.44559,0.38134,0.36738,0.31541,0.12077,2.03184,1.57516,1.65431,0.00106437,0.00106437,0.00106437
62,222.081,1.78086,1.33331,1.44239,0.36881,0.40047,0.32168,0.12623,2.05816,1.56584,1.66323,0.00106128,0.00106128,0.00106128
63,225.733,1.81228,1.31564,1.46514,0.35,0.33808,0.29482,0.12371,2.06703,1.59768,1.65107,0.00105819,0.00105819,0.00105819
64,229.16,1.792,1.33539,1.44633,0.39734,0.24465,0.27134,0.10996,2.11598,1.89183,1.76116,0.00105509,0.00105509,0.00105509
65,232.504,1.79307,1.33297,1.43809,0.39211,0.32968,0.31978,0.13096,2.07254,1.77311,1.7092,0.001052,0.001052,0.001052
66,236.006,1.79237,1.30792,1.45442,0.34814,0.40261,0.29215,0.1156,2.00162,1.71118,1.6575,0.00104891,0.00104891,0.00104891
67,239.536,1.75205,1.30103,1.42221,0.3998,0.28969,0.29429,0.11304,2.05378,1.59959,1.67054,0.00104581,0.00104581,0.00104581
68,242.921,1.73182,1.28126,1.42681,0.43362,0.30967,0.27406,0.10825,2.05789,1.73104,1.67613,0.00104272,0.00104272,0.00104272
69,246.411,1.73735,1.26396,1.41797,0.39215,0.28574,0.2819,0.11251,2.07511,1.644,1.68313,0.00103962,0.00103962,0.00103962
70,250.092,1.71894,1.24879,1.40969,0.40521,0.27402,0.28378,0.11501,2.09458,1.63397,1.70963,0.00103653,0.00103653,0.00103653
71,253.509,1.72394,1.27584,1.42006,0.36043,0.31683,0.29292,0.11351,2.09587,1.6459,1.71542,0.00103344,0.00103344,0.00103344
72,256.987,1.73086,1.28718,1.43046,0.40806,0.3997,0.31952,0.12792,2.13177,1.64982,1.73132,0.00103034,0.00103034,0.00103034
