epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,182.394,1.96443,1.67496,1.61091,0.27734,0.19499,0.20451,0.07547,2.08017,1.91105,1.74507,0.00112316,0.00112316,0.00112316
43,186.726,1.949,1.64302,1.58302,0.33832,0.192,0.17285,0.06428,2.05029,1.82014,1.69884,0.00112006,0.00112006,0.00112006
44,191.155,2.01248,1.65847,1.599,0.23965,0.17768,0.17199,0.06431,2.14324,1.88125,1.76191,0.00111697,0.00111697,0.00111697
45,195.394,1.97766,1.65231,1.5993,0.50315,0.19339,0.17631,0.06513,2.09601,1.94557,1.68495,0.00111388,0.00111388,0.00111388
46,199.718,1.95326,1.62825,1.57878,0.18072,0.26197,0.16564,0.0589,2.20533,2.12679,1.73157,0.00111078,0.00111078,0.00111078
47,204.072,1.97819,1.55628,1.57657,0.21859,0.24253,0.20161,0.07355,2.15828,2.15911,1.71037,0.00110769,0.00110769,0.00110769
48,208.296,1.98822,1.6062,1.56308,0.24601,0.22685,0.21137,0.07594,2.03976,1.80111,1.67271,0.00110459,0.00110459,0.00110459
49,212.851,1.92527,1.58054,1.54563,0.21707,0.26477,0.18215,0.06456,2.18196,2.27212,1.7055,0.0011015,0.0011015,0.0011015
50,216.92,1.93655,1.56131,1.55093,0.22189,0.21843,0.18303,0.06994,2.07274,1.82985,1.66461,0.00109841,0.00109841,0.00109841
51,221.426,1.95339,1.60922,1.56431,0.22199,0.20003,0.18145,0.06943,2.08174,1.91323,1.7469,0.00109531,0.00109531,0.00109531
52,225.699,1.92567,1.59184,1.56252,0.22472,0.17934,0.18095,0.06795,2.11893,2.03843,1.76951,0.00109222,0.00109222,0.00109222
53,230.113,1.92675,1.60957,1.55335,0.27818,0.21616,0.1863,0.0676,2.11791,1.88959,1.68695,0.00108913,0.00108913,0.00108913
54,234.545,1.94113,1.59221,1.5592,0.21827,0.24448,0.20862,0.07686,2.17261,2.21382,1.69021,0.00108603,0.00108603,0.00108603
55,238.813,1.91869,1.5576,1.55849,0.31153,0.25976,0.23821,0.08578,2.07791,1.69825,1.68271,0.00108294,0.00108294,0.00108294
56,243.024,1.92917,1.55119,1.53742,0.26336,0.25701,0.20696,0.07872,2.09273,1.8312,1.6797,0.00107984,0.00107984,0.00107984
57,247.313,1.93517,1.53825,1.5437,0.26255,0.19592,0.17847,0.06546,2.11562,1.96059,1.75951,0.00107675,0.00107675,0.00107675
58,251.576,1.92708,1.60261,1.57263,0.5669,0.14072,0.14393,0.05177,2.20722,2.0704,1.89611,0.00107366,0.00107366,0.00107366
59,256.194,1.94353,1.58805,1.5651,0.2532,0.22883,0.19879,0.07628,2.0585,1.8009,1.70995,0.00107056,0.00107056,0.00107056
60,260.362,1.90351,1.55969,1.55571,0.34643,0.19123,0.17903,0.07091,2.16526,1.96034,1.78021,0.00106747,0.00106747,0.00106747
61,264.641,1.9569,1.56825,1.5527,0.35727,0.2346,0.19783,0.07703,2.09403,1.8934,1.72263,0.00106437,0.00106437,0.00106437
62,268.925,1.92349,1.54888,1.54095,0.24809,0.27675,0.2114,0.08229,2.13184,1.85787,1.7197,0.00106128,0.00106128,0.00106128
63,273.213,1.92889,1.52203,1.54207,0.32926,0.24064,0.25173,0.09539,2.0734,1.75579,1.68945,0.00105819,0.00105819,0.00105819
64,277.522,1.89434,1.53231,1.53068,0.5453,0.21053,0.21074,0.07644,2.10447,1.93179,1.74115,0.00105509,0.00105509,0.00105509
