epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,154.062,1.83922,1.49357,1.52127,0.60289,0.29371,0.2811,0.10992,1.95615,1.65951,1.6143,0.00112316,0.00112316,0.00112316
43,157.59,1.86581,1.46023,1.51417,0.60888,0.26358,0.27384,0.10125,2.02794,1.68518,1.65259,0.00112006,0.00112006,0.00112006
44,161.137,1.90584,1.49013,1.52582,0.253,0.33661,0.2843,0.11228,1.96659,1.69326,1.62683,0.00111697,0.00111697,0.00111697
45,164.625,1.84522,1.46207,1.50466,0.55729,0.2838,0.24327,0.09628,2.05975,1.80449,1.65457,0.00111388,0.00111388,0.00111388
46,168.13,1.86241,1.45003,1.50966,0.54033,0.28586,0.24814,0.09883,2.02538,1.73835,1.66431,0.00111078,0.00111078,0.00111078
47,171.708,1.86775,1.41492,1.48451,0.52749,0.28852,0.24278,0.08924,2.04464,1.76194,1.67664,0.00110769,0.00110769,0.00110769
48,175.416,1.85693,1.41624,1.4717,0.53182,0.19434,0.2045,0.07371,2.15149,1.98587,1.77176,0.00110459,0.00110459,0.00110459
49,178.859,1.82758,1.41306,1.47606,0.58724,0.25466,0.24913,0.10154,2.03849,1.72701,1.67278,0.0011015,0.0011015,0.0011015
50,182.386,1.82317,1.40344,1.4673,0.60321,0.27852,0.2772,0.11265,2.02917,1.70689,1.66673,0.00109841,0.00109841,0.00109841
51,185.854,1.84217,1.42354,1.4816,0.38285,0.35432,0.30464,0.12428,2.00339,1.60213,1.64665,0.00109531,0.00109531,0.00109531
52,189.326,1.81941,1.41498,1.49004,0.39506,0.35033,0.28348,0.11013,1.99969,1.68959,1.66902,0.00109222,0.00109222,0.00109222
53,192.944,1.80671,1.42127,1.46717,0.47249,0.31594,0.32961,0.13071,2.00616,1.6139,1.66132,0.00108913,0.00108913,0.00108913
54,196.404,1.82639,1.41496,1.4869,0.3404,0.40419,0.3161,0.13106,1.99037,1.56539,1.64108,0.00108603,0.00108603,0.00108603
55,199.781,1.80049,1.38369,1.47655,0.43716,0.36075,0.31702,0.1293,1.97484,1.62268,1.60786,0.00108294,0.00108294,0.00108294
56,203.411,1.82146,1.36181,1.4582,0.38902,0.39342,0.31327,0.12509,1.99113,1.56832,1.6056,0.00107984,0.00107984,0.00107984
57,206.865,1.80349,1.35008,1.45186,0.39823,0.285,0.28435,0.11532,2.06056,1.61183,1.67696,0.00107675,0.00107675,0.00107675
58,210.464,1.78079,1.38563,1.46265,0.31124,0.29884,0.27117,0.10781,2.01471,1.63257,1.67267,0.00107366,0.00107366,0.00107366
59,213.898,1.79717,1.35725,1.45243,0.40332,0.33796,0.30072,0.12006,2.0066,1.59194,1.6657,0.00107056,0.00107056,0.00107056
60,217.714,1.7724,1.33283,1.45385,0.36144,0.24369,0.23499,0.0912,2.00504,1.73892,1.69713,0.00106747,0.00106747,0.00106747
61,221.059,1.78434,1.34002,1.43876,0.30693,0.27598,0.22784,0.09133,2.04517,1.79475,1.73094,0.00106437,0.00106437,0.00106437
62,224.811,1.77598,1.32443,1.43373,0.34885,0.31931,0.25057,0.10606,2.11518,1.71581,1.71123,0.00106128,0.00106128,0.00106128
63,228.292,1.82585,1.33016,1.4645,0.25626,0.32476,0.24269,0.09763,2.1105,1.65095,1.69964,0.00105819,0.00105819,0.00105819
64,231.776,1.78276,1.34649,1.43265,0.39496,0.27375,0.26356,0.10503,2.02672,1.6651,1.66928,0.00105509,0.00105509,0.00105509
65,235.233,1.78434,1.32604,1.43273,0.38478,0.34472,0.29634,0.11464,2.04927,1.6381,1.67938,0.001052,0.001052,0.001052
66,238.769,1.80077,1.30811,1.45385,0.37712,0.35559,0.32095,0.13198,1.97567,1.58227,1.64713,0.00104891,0.00104891,0.00104891
67,242.091,1.74627,1.32608,1.41176,0.38456,0.36185,0.34002,0.12472,1.97959,1.49378,1.6449,0.00104581,0.00104581,0.00104581
68,245.685,1.73527,1.28883,1.4287,0.40485,0.29002,0.29642,0.1146,2.08728,1.67767,1.72168,0.00104272,0.00104272,0.00104272
69,249.224,1.73501,1.26636,1.41552,0.35217,0.31037,0.28724,0.11054,2.16428,1.92502,1.75376,0.00103962,0.00103962,0.00103962
70,252.916,1.73598,1.27416,1.41315,0.3773,0.34809,0.27399,0.09915,2.23607,2.17409,1.75682,0.00103653,0.00103653,0.00103653
71,256.41,1.74798,1.29711,1.42132,0.37671,0.38524,0.30232,0.10719,2.02312,1.6032,1.63786,0.00103344,0.00103344,0.00103344
72,259.669,1.72618,1.31769,1.43149,0.33724,0.32394,0.28967,0.11198,2.0993,1.71602,1.69086,0.00103034,0.00103034,0.00103034
73,263.331,1.72175,1.25489,1.40235,0.31371,0.28139,0.24712,0.09719,2.09272,1.78664,1.75956,0.00102725,0.00102725,0.00102725
74,266.832,1.74517,1.25991,1.41428,0.2845,0.2322,0.21172,0.08292,2.11158,1.78493,1.73311,0.00102416,0.00102416,0.00102416
75,270.357,1.76336,1.28085,1.41232,0.31021,0.30722,0.26013,0.10373,2.09762,1.67649,1.7333,0.00102106,0.00102106,0.00102106
76,273.889,1.72974,1.25277,1.39347,0.30921,0.38633,0.30066,0.10582,2.07097,1.63267,1.69828,0.00101797,0.00101797,0.00101797
77,277.441,1.72737,1.24288,1.40172,0.53241,0.33131,0.28225,0.1023,2.20915,1.67582,1.76627,0.00101488,0.00101488,0.00101488
78,280.829,1.71345,1.22122,1.39913,0.3362,0.36069,0.30335,0.11585,2.03448,1.54816,1.66415,0.00101178,0.00101178,0.00101178
79,284.338,1.72003,1.24204,1.38472,0.37361,0.36171,0.29213,0.10968,2.05394,1.57184,1.66796,0.00100869,0.00100869,0.00100869
80,287.971,1.73699,1.26563,1.38881,0.33141,0.31608,0.29198,0.11369,2.05398,1.575,1.68763,0.00100559,0.00100559,0.00100559
81,291.654,1.69701,1.23433,1.39058,0.28589,0.29976,0.27174,0.11009,2.08174,1.61913,1.69337,0.0010025,0.0010025,0.0010025
82,295.081,1.68032,1.21349,1.38897,0.40298,0.45172,0.35086,0.12208,2.15227,1.61851,1.69653,0.000999406,0.000999406,0.000999406
