epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.038,1.838,1.48133,1.51935,0.28534,0.2964,0.26448,0.1076,2.00647,1.59259,1.62028,0.00112316,0.00112316,0.00112316
43,163.848,1.85538,1.43868,1.50572,0.26269,0.32253,0.25394,0.10421,2.01341,1.67035,1.66242,0.00112006,0.00112006,0.00112006
44,167.45,1.91696,1.48852,1.5255,0.27243,0.25961,0.22798,0.0941,2.00481,1.83108,1.6934,0.00111697,0.00111697,0.00111697
45,171.16,1.84393,1.45774,1.50033,0.26388,0.26406,0.23457,0.0908,2.05369,1.82933,1.66394,0.00111388,0.00111388,0.00111388
46,174.92,1.8647,1.44656,1.50275,0.53284,0.31268,0.26889,0.10478,2.01471,1.65576,1.60422,0.00111078,0.00111078,0.00111078
47,178.622,1.85555,1.40131,1.47178,0.55098,0.26593,0.27532,0.10247,2.0023,1.66124,1.63148,0.00110769,0.00110769,0.00110769
48,182.314,1.85292,1.41271,1.46937,0.46257,0.34018,0.30704,0.11266,2.01087,1.6376,1.64913,0.00110459,0.00110459,0.00110459
49,186.063,1.82874,1.39955,1.47834,0.3967,0.32575,0.31901,0.12991,1.96999,1.6149,1.62291,0.0011015,0.0011015,0.0011015
50,189.689,1.82399,1.39855,1.47328,0.42318,0.2805,0.29977,0.11629,2.04358,1.73153,1.66816,0.00109841,0.00109841,0.00109841
51,193.392,1.83917,1.41347,1.4759,0.30078,0.34562,0.30274,0.11789,2.00687,1.66597,1.65681,0.00109531,0.00109531,0.00109531
52,197.184,1.7956,1.40386,1.47083,0.38402,0.29564,0.28158,0.11454,1.9699,1.70252,1.65077,0.00109222,0.00109222,0.00109222
53,200.846,1.78968,1.3947,1.45831,0.43446,0.29545,0.28589,0.11828,2.00222,1.63133,1.68994,0.00108913,0.00108913,0.00108913
54,204.608,1.82815,1.41514,1.47864,0.3457,0.28807,0.28457,0.11589,2.03587,1.60949,1.6782,0.00108603,0.00108603,0.00108603
55,208.317,1.79467,1.37462,1.4703,0.35074,0.34944,0.27794,0.10742,2.07194,1.69658,1.6785,0.00108294,0.00108294,0.00108294
56,212.103,1.81821,1.35668,1.46451,0.49233,0.33055,0.33987,0.13112,2.02409,1.52836,1.6442,0.00107984,0.00107984,0.00107984
57,215.68,1.8013,1.33015,1.44826,0.40231,0.37558,0.32743,0.1141,2.08068,1.5617,1.69748,0.00107675,0.00107675,0.00107675
